,demand,wind
2008-01-01 00:00:00,29.4893,0.0113
2008-01-01 01:00:00,30.7203,0.0507
2008-01-01 02:00:00,30.6944,0.0430
2008-01-01 03:00:00,28.4835,0.0249
2008-01-01 04:00:00,26.5126,0.0172
2008-01-01 05:00:00,23.9027,0.0249
2008-01-01 06:00:00,22.7777,0.0284
2008-01-01 07:00:00,22.6798,0.0198
2008-01-01 08:00:00,22.3169,0.0378
2008-01-01 09:00:00,22.0310,0.0516
2008-01-01 10:00:00,24.0120,0.0378
2008-01-01 11:00:00,27.1711,0.0602
2008-01-01 12:00:00,29.9492,0.0722
2008-01-01 13:00:00,32.0283,0.0688
2008-01-01 14:00:00,32.5324,0.0628
2008-01-01 15:00:00,32.4824,0.0619
2008-01-01 16:00:00,32.8315,0.0490
2008-01-01 17:00:00,36.1976,0.0593
2008-01-01 18:00:00,39.3267,0.0525
2008-01-01 19:00:00,38.5427,0.0662
2008-01-01 20:00:00,37.0108,0.0653
2008-01-01 21:00:00,35.3489,0.0843
2008-01-01 22:00:00,33.4140,0.0860
2008-01-01 23:00:00,30.7821,0.0946
2008-01-02 00:00:00,28.0431,0.1015
2008-01-02 01:00:00,27.3822,0.1015
2008-01-02 02:00:00,27.1593,0.1384
2008-01-02 03:00:00,25.9424,0.1255
2008-01-02 04:00:00,25.3025,0.1642
2008-01-02 05:00:00,23.6355,0.1702
2008-01-02 06:00:00,23.6716,0.2046
2008-01-02 07:00:00,27.0107,0.2691
2008-01-02 08:00:00,31.8298,0.3087
2008-01-02 09:00:00,35.6828,0.3620
2008-01-02 10:00:00,38.9779,0.3629
2008-01-02 11:00:00,40.9900,0.3517
2008-01-02 12:00:00,42.3471,0.4024
2008-01-02 13:00:00,43.0162,0.4230
2008-01-02 14:00:00,43.0912,0.4033
2008-01-02 15:00:00,42.9653,0.4523
2008-01-02 16:00:00,43.0374,0.4428
2008-01-02 17:00:00,46.1495,0.4007
2008-01-02 18:00:00,49.9945,0.4213
2008-01-02 19:00:00,48.8726,0.4506
2008-01-02 20:00:00,47.0277,0.4411
2008-01-02 21:00:00,44.1288,0.4015
2008-01-02 22:00:00,41.2188,0.3560
2008-01-02 23:00:00,37.3999,0.3267
2008-01-03 00:00:00,33.3990,0.3749
2008-01-03 01:00:00,32.0671,0.3783
2008-01-03 02:00:00,31.6932,0.3646
2008-01-03 03:00:00,30.5132,0.3921
2008-01-03 04:00:00,30.0653,0.3500
2008-01-03 05:00:00,28.6384,0.3371
2008-01-03 06:00:00,28.7565,0.3371
2008-01-03 07:00:00,31.8825,0.3207
2008-01-03 08:00:00,37.1066,0.3035
2008-01-03 09:00:00,40.9477,0.2623
2008-01-03 10:00:00,44.0668,0.2949
2008-01-03 11:00:00,45.6529,0.2674
2008-01-03 12:00:00,46.4889,0.3138
2008-01-03 13:00:00,47.2560,0.3035
2008-01-03 14:00:00,47.5081,0.3216
2008-01-03 15:00:00,47.7132,0.3319
2008-01-03 16:00:00,48.0232,0.2287
2008-01-03 17:00:00,50.4923,0.2322
2008-01-03 18:00:00,52.1804,0.2253
2008-01-03 19:00:00,51.0335,0.2794
2008-01-03 20:00:00,49.0656,0.2304
2008-01-03 21:00:00,45.5736,0.2012
2008-01-03 22:00:00,43.2567,0.1952
2008-01-03 23:00:00,38.9588,0.1281
2008-01-04 00:00:00,34.7229,0.1333
2008-01-04 01:00:00,33.6879,0.1591
2008-01-04 02:00:00,32.9670,0.1436
2008-01-04 03:00:00,32.0491,0.1505
2008-01-04 04:00:00,31.4662,0.1771
2008-01-04 05:00:00,29.9052,0.1745
2008-01-04 06:00:00,29.5823,0.1720
2008-01-04 07:00:00,32.4064,0.2046
2008-01-04 08:00:00,37.4975,0.1840
2008-01-04 09:00:00,41.3506,0.1917
2008-01-04 10:00:00,43.9626,0.1350
2008-01-04 11:00:00,45.3167,0.1324
2008-01-04 12:00:00,45.7108,0.2072
2008-01-04 13:00:00,46.0629,0.2425
2008-01-04 14:00:00,45.8790,0.2743
2008-01-04 15:00:00,45.9880,0.3491
2008-01-04 16:00:00,45.6751,0.3586
2008-01-04 17:00:00,48.2782,0.4119
2008-01-04 18:00:00,50.0633,0.4755
2008-01-04 19:00:00,48.4903,0.4394
2008-01-04 20:00:00,46.2254,0.4239
2008-01-04 21:00:00,43.0785,0.3835
2008-01-04 22:00:00,40.0446,0.3448
2008-01-04 23:00:00,36.3597,0.2923
2008-01-05 00:00:00,32.9607,0.2433
2008-01-05 01:00:00,32.3238,0.2786
2008-01-05 02:00:00,31.4399,0.2898
2008-01-05 03:00:00,29.6810,0.2820
2008-01-05 04:00:00,28.7840,0.2657
2008-01-05 05:00:00,27.1381,0.3293
2008-01-05 06:00:00,26.2542,0.3439
2008-01-05 07:00:00,26.9323,0.3878
2008-01-05 08:00:00,28.5874,0.3629
2008-01-05 09:00:00,30.7704,0.3689
2008-01-05 10:00:00,34.2575,0.3672
2008-01-05 11:00:00,36.2286,0.3603
2008-01-05 12:00:00,36.9437,0.4230
2008-01-05 13:00:00,37.3417,0.4093
2008-01-05 14:00:00,37.1088,0.3835
2008-01-05 15:00:00,36.9759,0.2915
2008-01-05 16:00:00,36.6390,0.2846
2008-01-05 17:00:00,39.4671,0.3371
2008-01-05 18:00:00,44.1991,0.3104
2008-01-05 19:00:00,43.4812,0.2648
2008-01-05 20:00:00,41.8573,0.3233
2008-01-05 21:00:00,39.3694,0.2580
2008-01-05 22:00:00,36.5564,0.2992
2008-01-05 23:00:00,33.8965,0.2554
2008-01-06 00:00:00,31.6966,0.2769
2008-01-06 01:00:00,31.2077,0.3259
2008-01-06 02:00:00,30.1847,0.3328
2008-01-06 03:00:00,28.7468,0.3534
2008-01-06 04:00:00,27.8349,0.3181
2008-01-06 05:00:00,26.1600,0.2726
2008-01-06 06:00:00,25.6700,0.2236
2008-01-06 07:00:00,25.7511,0.1935
2008-01-06 08:00:00,26.2292,0.2227
2008-01-06 09:00:00,27.1163,0.1797
2008-01-06 10:00:00,30.6604,0.2124
2008-01-06 11:00:00,34.0744,0.2158
2008-01-06 12:00:00,36.1795,0.2313
2008-01-06 13:00:00,37.3506,0.2399
2008-01-06 14:00:00,37.1927,0.2433
2008-01-06 15:00:00,37.1497,0.1333
2008-01-06 16:00:00,37.5958,0.0791
2008-01-06 17:00:00,41.0449,0.0937
2008-01-06 18:00:00,44.9470,0.0903
2008-01-06 19:00:00,44.1191,0.1462
2008-01-06 20:00:00,42.5771,0.1874
2008-01-06 21:00:00,40.6092,0.2313
2008-01-06 22:00:00,37.4333,0.2640
2008-01-06 23:00:00,33.8514,0.2820
2008-01-07 00:00:00,30.1515,0.3216
2008-01-07 01:00:00,29.1585,0.3035
2008-01-07 02:00:00,29.2376,0.3061
2008-01-07 03:00:00,28.4457,0.3001
2008-01-07 04:00:00,28.2468,0.3285
2008-01-07 05:00:00,26.9678,0.3147
2008-01-07 06:00:00,27.2789,0.3302
2008-01-07 07:00:00,31.4380,0.3448
2008-01-07 08:00:00,39.0841,0.3766
2008-01-07 09:00:00,42.4421,0.3611
2008-01-07 10:00:00,43.3492,0.3629
2008-01-07 11:00:00,44.0463,0.3646
2008-01-07 12:00:00,44.4164,0.3620
2008-01-07 13:00:00,44.7015,0.3345
2008-01-07 14:00:00,44.6585,0.3319
2008-01-07 15:00:00,44.5346,0.3250
2008-01-07 16:00:00,44.0937,0.3491
2008-01-07 17:00:00,47.1868,0.3302
2008-01-07 18:00:00,51.5958,0.3302
2008-01-07 19:00:00,50.3289,0.2700
2008-01-07 20:00:00,48.0590,0.2777
2008-01-07 21:00:00,45.2251,0.3646
2008-01-07 22:00:00,41.9152,0.2941
2008-01-07 23:00:00,37.2412,0.3431
2008-01-08 00:00:00,32.6213,0.3672
2008-01-08 01:00:00,31.3134,0.3637
2008-01-08 02:00:00,31.1775,0.3680
2008-01-08 03:00:00,30.3156,0.3362
2008-01-08 04:00:00,30.3016,0.3164
2008-01-08 05:00:00,28.6497,0.2657
2008-01-08 06:00:00,28.8728,0.2244
2008-01-08 07:00:00,32.8149,0.2399
2008-01-08 08:00:00,40.4949,0.2416
2008-01-08 09:00:00,43.8640,0.2631
2008-01-08 10:00:00,43.7541,0.2451
2008-01-08 11:00:00,44.2282,0.2571
2008-01-08 12:00:00,44.5412,0.2794
2008-01-08 13:00:00,44.8243,0.3242
2008-01-08 14:00:00,44.5964,0.3663
2008-01-08 15:00:00,44.4925,0.3500
2008-01-08 16:00:00,44.1026,0.3310
2008-01-08 17:00:00,47.8586,0.3955
2008-01-08 18:00:00,51.5787,0.3878
2008-01-08 19:00:00,49.9368,0.4101
2008-01-08 20:00:00,47.9869,0.4635
2008-01-08 21:00:00,45.5179,0.4703
2008-01-08 22:00:00,41.9090,0.4136
2008-01-08 23:00:00,37.4351,0.4480
2008-01-09 00:00:00,32.8222,0.4394
2008-01-09 01:00:00,31.5933,0.4445
2008-01-09 02:00:00,31.5223,0.4325
2008-01-09 03:00:00,30.6334,0.4334
2008-01-09 04:00:00,29.9925,0.4334
2008-01-09 05:00:00,28.6906,0.4402
2008-01-09 06:00:00,28.8546,0.4273
2008-01-09 07:00:00,32.6257,0.4669
2008-01-09 08:00:00,40.4538,0.4454
2008-01-09 09:00:00,43.6689,0.4463
2008-01-09 10:00:00,43.6529,0.4523
2008-01-09 11:00:00,43.9280,0.4703
2008-01-09 12:00:00,44.2201,0.4764
2008-01-09 13:00:00,44.3762,0.4850
2008-01-09 14:00:00,44.3093,0.4609
2008-01-09 15:00:00,44.3323,0.4798
2008-01-09 16:00:00,44.2124,0.4377
2008-01-09 17:00:00,47.9735,0.3938
2008-01-09 18:00:00,51.8246,0.3844
2008-01-09 19:00:00,50.4826,0.3267
2008-01-09 20:00:00,48.5637,0.3491
2008-01-09 21:00:00,46.0948,0.4196
2008-01-09 22:00:00,42.3749,0.3568
2008-01-09 23:00:00,37.9330,0.3689
2008-01-10 00:00:00,33.2080,0.3052
2008-01-10 01:00:00,31.9861,0.3035
2008-01-10 02:00:00,31.6712,0.3001
2008-01-10 03:00:00,30.5273,0.2803
2008-01-10 04:00:00,29.9474,0.2743
2008-01-10 05:00:00,28.5374,0.2752
2008-01-10 06:00:00,28.6315,0.2923
2008-01-10 07:00:00,32.1696,0.2777
2008-01-10 08:00:00,39.8837,0.3018
2008-01-10 09:00:00,43.6127,0.2752
2008-01-10 10:00:00,43.7568,0.2975
2008-01-10 11:00:00,44.3639,0.3285
2008-01-10 12:00:00,44.8220,0.3482
2008-01-10 13:00:00,45.4130,0.3396
2008-01-10 14:00:00,45.2271,0.3216
2008-01-10 15:00:00,45.0052,0.3181
