,region1
1980-01-01 00:00:00,0.4359
1980-01-01 01:00:00,0.431
1980-01-01 02:00:00,0.4233
1980-01-01 03:00:00,0.4127
1980-01-01 04:00:00,0.4025
1980-01-01 05:00:00,0.3887
1980-01-01 06:00:00,0.3699
1980-01-01 07:00:00,0.3505
1980-01-01 08:00:00,0.3414
1980-01-01 09:00:00,0.3519
1980-01-01 10:00:00,0.3711
1980-01-01 11:00:00,0.4019
1980-01-01 12:00:00,0.4402
1980-01-01 13:00:00,0.4762
1980-01-01 14:00:00,0.5091
1980-01-01 15:00:00,0.5311
1980-01-01 16:00:00,0.5437
1980-01-01 17:00:00,0.5477
1980-01-01 18:00:00,0.5466
1980-01-01 19:00:00,0.5427
1980-01-01 20:00:00,0.5343
1980-01-01 21:00:00,0.5298
1980-01-01 22:00:00,0.5242
1980-01-01 23:00:00,0.5133
