,region1
2015-01-01 00:00:00,0.8217
2015-01-01 01:00:00,0.8137
2015-01-01 02:00:00,0.8006
2015-01-01 03:00:00,0.7831
2015-01-01 04:00:00,0.7665
2015-01-01 05:00:00,0.7628
2015-01-01 06:00:00,0.7695
2015-01-01 07:00:00,0.7890
2015-01-01 08:00:00,0.8161
2015-01-01 09:00:00,0.8394
2015-01-01 10:00:00,0.8562
2015-01-01 11:00:00,0.8679
2015-01-01 12:00:00,0.8736
2015-01-01 13:00:00,0.8740
2015-01-01 14:00:00,0.8699
2015-01-01 15:00:00,0.8638
2015-01-01 16:00:00,0.8587
2015-01-01 17:00:00,0.8537
2015-01-01 18:00:00,0.7712
2015-01-01 19:00:00,0.7726
2015-01-01 20:00:00,0.7823
2015-01-01 21:00:00,0.7966
2015-01-01 22:00:00,0.8068
2015-01-01 23:00:00,0.8116
2015-01-02 00:00:00,0.8130
2015-01-02 01:00:00,0.8138
2015-01-02 02:00:00,0.8142
2015-01-02 03:00:00,0.8138
2015-01-02 04:00:00,0.8119
2015-01-02 05:00:00,0.8098
2015-01-02 06:00:00,0.8055
2015-01-02 07:00:00,0.7970
2015-01-02 08:00:00,0.7867
2015-01-02 09:00:00,0.7749
2015-01-02 10:00:00,0.7637
2015-01-02 11:00:00,0.7602
2015-01-02 12:00:00,0.8409
2015-01-02 13:00:00,0.8424
2015-01-02 14:00:00,0.8425
2015-01-02 15:00:00,0.8345
2015-01-02 16:00:00,0.8226
2015-01-02 17:00:00,0.8091
2015-01-02 18:00:00,0.7911
2015-01-02 19:00:00,0.7737
2015-01-02 20:00:00,0.7527
2015-01-02 21:00:00,0.7503
2015-01-02 22:00:00,0.7535
2015-01-02 23:00:00,0.7551
2015-01-03 00:00:00,0.7549
2015-01-03 01:00:00,0.7527
2015-01-03 02:00:00,0.7509
2015-01-03 03:00:00,0.7276
2015-01-03 04:00:00,0.6845
2015-01-03 05:00:00,0.6288
2015-01-03 06:00:00,0.5702
2015-01-03 07:00:00,0.5089
2015-01-03 08:00:00,0.4534
2015-01-03 09:00:00,0.4076
2015-01-03 10:00:00,0.3706
2015-01-03 11:00:00,0.3367
2015-01-03 12:00:00,0.3226
2015-01-03 13:00:00,0.3349
2015-01-03 14:00:00,0.3632
2015-01-03 15:00:00,0.3997
2015-01-03 16:00:00,0.4408
2015-01-03 17:00:00,0.4611
2015-01-03 18:00:00,0.4582
2015-01-03 19:00:00,0.4460
2015-01-03 20:00:00,0.4461
2015-01-03 21:00:00,0.4471
2015-01-03 22:00:00,0.4381
2015-01-03 23:00:00,0.4264
2015-01-04 00:00:00,0.4152
2015-01-04 01:00:00,0.4078
2015-01-04 02:00:00,0.3969
2015-01-04 03:00:00,0.3805
2015-01-04 04:00:00,0.3565
2015-01-04 05:00:00,0.3336
2015-01-04 06:00:00,0.3137
2015-01-04 07:00:00,0.3000
2015-01-04 08:00:00,0.2937
2015-01-04 09:00:00,0.2854
2015-01-04 10:00:00,0.2735
2015-01-04 11:00:00,0.2699
2015-01-04 12:00:00,0.2775
2015-01-04 13:00:00,0.2917
2015-01-04 14:00:00,0.3089
2015-01-04 15:00:00,0.3247
2015-01-04 16:00:00,0.3388
2015-01-04 17:00:00,0.3528
2015-01-04 18:00:00,0.3669
2015-01-04 19:00:00,0.3734
2015-01-04 20:00:00,0.3709
2015-01-04 21:00:00,0.3663
2015-01-04 22:00:00,0.3709
2015-01-04 23:00:00,0.3869
2015-01-05 00:00:00,0.4098
2015-01-05 01:00:00,0.4333
2015-01-05 02:00:00,0.4542
2015-01-05 03:00:00,0.4566
2015-01-05 04:00:00,0.4414
2015-01-05 05:00:00,0.4203
2015-01-05 06:00:00,0.4047
2015-01-05 07:00:00,0.3996
2015-01-05 08:00:00,0.3954
2015-01-05 09:00:00,0.3992
2015-01-05 10:00:00,0.4037
2015-01-05 11:00:00,0.3993
2015-01-05 12:00:00,0.3835
2015-01-05 13:00:00,0.3662
2015-01-05 14:00:00,0.3531
2015-01-05 15:00:00,0.3442
2015-01-05 16:00:00,0.3439
2015-01-05 17:00:00,0.3581
2015-01-05 18:00:00,0.3831
2015-01-05 19:00:00,0.4104
2015-01-05 20:00:00,0.4311
2015-01-05 21:00:00,0.4454
2015-01-05 22:00:00,0.4598
2015-01-05 23:00:00,0.4735
2015-01-06 00:00:00,0.4796
2015-01-06 01:00:00,0.4899
2015-01-06 02:00:00,0.5089
2015-01-06 03:00:00,0.5329
2015-01-06 04:00:00,0.5489
2015-01-06 05:00:00,0.5505
2015-01-06 06:00:00,0.5452
2015-01-06 07:00:00,0.5414
2015-01-06 08:00:00,0.5386
2015-01-06 09:00:00,0.5432
2015-01-06 10:00:00,0.5612
2015-01-06 11:00:00,0.5905
2015-01-06 12:00:00,0.6164
2015-01-06 13:00:00,0.6267
2015-01-06 14:00:00,0.6139
2015-01-06 15:00:00,0.5992
2015-01-06 16:00:00,0.5936
2015-01-06 17:00:00,0.5857
2015-01-06 18:00:00,0.5699
2015-01-06 19:00:00,0.5573
2015-01-06 20:00:00,0.5375
2015-01-06 21:00:00,0.5170
2015-01-06 22:00:00,0.5071
2015-01-06 23:00:00,0.4921
2015-01-07 00:00:00,0.4863
2015-01-07 01:00:00,0.5004
2015-01-07 02:00:00,0.5274
2015-01-07 03:00:00,0.5658
2015-01-07 04:00:00,0.6139
2015-01-07 05:00:00,0.6701
2015-01-07 06:00:00,0.7238
2015-01-07 07:00:00,0.7732
2015-01-07 08:00:00,0.8125
2015-01-07 09:00:00,0.8418
2015-01-07 10:00:00,0.8630
2015-01-07 11:00:00,0.8792
2015-01-07 12:00:00,0.8877
2015-01-07 13:00:00,0.8909
2015-01-07 14:00:00,0.8909
2015-01-07 15:00:00,0.8903
2015-01-07 16:00:00,0.8903
2015-01-07 17:00:00,0.8889
2015-01-07 18:00:00,0.8871
2015-01-07 19:00:00,0.8840
2015-01-07 20:00:00,0.8802
2015-01-07 21:00:00,0.8766
2015-01-07 22:00:00,0.8712
2015-01-07 23:00:00,0.8649
2015-01-08 00:00:00,0.8597
2015-01-08 01:00:00,0.8547
2015-01-08 02:00:00,0.8449
2015-01-08 03:00:00,0.8293
2015-01-08 04:00:00,0.8084
2015-01-08 05:00:00,0.7892
2015-01-08 06:00:00,0.7649
2015-01-08 07:00:00,0.7396
2015-01-08 08:00:00,0.7151
2015-01-08 09:00:00,0.6973
2015-01-08 10:00:00,0.6784
2015-01-08 11:00:00,0.6637
2015-01-08 12:00:00,0.6618
2015-01-08 13:00:00,0.6785
2015-01-08 14:00:00,0.6789
2015-01-08 15:00:00,0.6587
2015-01-08 16:00:00,0.6706
2015-01-08 17:00:00,0.6802
2015-01-08 18:00:00,0.7116
2015-01-08 19:00:00,0.7569
2015-01-08 20:00:00,0.7857
2015-01-08 21:00:00,0.8245
2015-01-08 22:00:00,0.8729
2015-01-08 23:00:00,0.8979
2015-01-09 00:00:00,0.9084
2015-01-09 01:00:00,0.8801
2015-01-09 02:00:00,0.8029
2015-01-09 03:00:00,0.8015
2015-01-09 04:00:00,0.7953
2015-01-09 05:00:00,0.7773
2015-01-09 06:00:00,0.7750
2015-01-09 07:00:00,0.7688
2015-01-09 08:00:00,0.7578
2015-01-09 09:00:00,0.7392
2015-01-09 10:00:00,0.7089
2015-01-09 11:00:00,0.7195
2015-01-09 12:00:00,0.7025
2015-01-09 13:00:00,0.7737
2015-01-09 14:00:00,0.7584
2015-01-09 15:00:00,0.7341
2015-01-09 16:00:00,0.7248
2015-01-09 17:00:00,0.7438
2015-01-09 18:00:00,0.7838
2015-01-09 19:00:00,0.8261
2015-01-09 20:00:00,0.8763
2015-01-09 21:00:00,0.8966
2015-01-09 22:00:00,0.9054
2015-01-09 23:00:00,0.9074
2015-01-10 00:00:00,0.9072
2015-01-10 01:00:00,0.9068
2015-01-10 02:00:00,0.9064
2015-01-10 03:00:00,0.9060
2015-01-10 04:00:00,0.8292
2015-01-10 05:00:00,0.8296
2015-01-10 06:00:00,0.8299
2015-01-10 07:00:00,0.8301
2015-01-10 08:00:00,0.7924
2015-01-10 09:00:00,0.6766
2015-01-10 10:00:00,0.6595
2015-01-10 11:00:00,0.6557
2015-01-10 12:00:00,0.6513
2015-01-10 13:00:00,0.6458
2015-01-10 14:00:00,0.7541
2015-01-10 15:00:00,0.7620
2015-01-10 16:00:00,0.7540
2015-01-10 17:00:00,0.7838
2015-01-10 18:00:00,0.7774
2015-01-10 19:00:00,0.7736
2015-01-10 20:00:00,0.7703
2015-01-10 21:00:00,0.8478
2015-01-10 22:00:00,0.8545
2015-01-10 23:00:00,0.8643
2015-01-11 00:00:00,0.8732
2015-01-11 01:00:00,0.8808
2015-01-11 02:00:00,0.8861
2015-01-11 03:00:00,0.8879
2015-01-11 04:00:00,0.8873
2015-01-11 05:00:00,0.8841
2015-01-11 06:00:00,0.8772
2015-01-11 07:00:00,0.8668
2015-01-11 08:00:00,0.8542
2015-01-11 09:00:00,0.8461
2015-01-11 10:00:00,0.8450
2015-01-11 11:00:00,0.8512
2015-01-11 12:00:00,0.8616
2015-01-11 13:00:00,0.8683
2015-01-11 14:00:00,0.8752
2015-01-11 15:00:00,0.8801
2015-01-11 16:00:00,0.8815
2015-01-11 17:00:00,0.8820
2015-01-11 18:00:00,0.8818
2015-01-11 19:00:00,0.8816
2015-01-11 20:00:00,0.8821
2015-01-11 21:00:00,0.8828
2015-01-11 22:00:00,0.8855
2015-01-11 23:00:00,0.8892
2015-01-12 00:00:00,0.8946
2015-01-12 01:00:00,0.9000
2015-01-12 02:00:00,0.9036
2015-01-12 03:00:00,0.9061
2015-01-12 04:00:00,0.9081
2015-01-12 05:00:00,0.9093
2015-01-12 06:00:00,0.9091
2015-01-12 07:00:00,0.9077
2015-01-12 08:00:00,0.9052
2015-01-12 09:00:00,0.9023
2015-01-12 10:00:00,0.8978
2015-01-12 11:00:00,0.8910
2015-01-12 12:00:00,0.8805
2015-01-12 13:00:00,0.8665
2015-01-12 14:00:00,0.8469
2015-01-12 15:00:00,0.8191
2015-01-12 16:00:00,0.7840
2015-01-12 17:00:00,0.7491
2015-01-12 18:00:00,0.7202
2015-01-12 19:00:00,0.7010
2015-01-12 20:00:00,0.6959
2015-01-12 21:00:00,0.7016
2015-01-12 22:00:00,0.7157
2015-01-12 23:00:00,0.7297
2015-01-13 00:00:00,0.7407
2015-01-13 01:00:00,0.7498
2015-01-13 02:00:00,0.7585
2015-01-13 03:00:00,0.7754
2015-01-13 04:00:00,0.7839
2015-01-13 05:00:00,0.7752
2015-01-13 06:00:00,0.7528
2015-01-13 07:00:00,0.7302
2015-01-13 08:00:00,0.7007
2015-01-13 09:00:00,0.6836
2015-01-13 10:00:00,0.6729
2015-01-13 11:00:00,0.6721
2015-01-13 12:00:00,0.6762
2015-01-13 13:00:00,0.6925
2015-01-13 14:00:00,0.7258
2015-01-13 15:00:00,0.7509
2015-01-13 16:00:00,0.7691
2015-01-13 17:00:00,0.7816
2015-01-13 18:00:00,0.7839
2015-01-13 19:00:00,0.7746
2015-01-13 20:00:00,0.7558
2015-01-13 21:00:00,0.7434
2015-01-13 22:00:00,0.7411
2015-01-13 23:00:00,0.7366
2015-01-14 00:00:00,0.7358
2015-01-14 01:00:00,0.7393
2015-01-14 02:00:00,0.7513
2015-01-14 03:00:00,0.7670
2015-01-14 04:00:00,0.7799
2015-01-14 05:00:00,0.7908
2015-01-14 06:00:00,0.8004
2015-01-14 07:00:00,0.8018
2015-01-14 08:00:00,0.8005
2015-01-14 09:00:00,0.8028
2015-01-14 10:00:00,0.7971
2015-01-14 11:00:00,0.7910
2015-01-14 12:00:00,0.7851
2015-01-14 13:00:00,0.7806
2015-01-14 14:00:00,0.7926
2015-01-14 15:00:00,0.8070
2015-01-14 16:00:00,0.8250
2015-01-14 17:00:00,0.8493
2015-01-14 18:00:00,0.8754
2015-01-14 19:00:00,0.8942
2015-01-14 20:00:00,0.9027
2015-01-14 21:00:00,0.9049
2015-01-14 22:00:00,0.9065
2015-01-14 23:00:00,0.7594
2015-01-15 00:00:00,0.7185
2015-01-15 01:00:00,0.6116
2015-01-15 02:00:00,0.5907
2015-01-15 03:00:00,0.5822
2015-01-15 04:00:00,0.5832
2015-01-15 05:00:00,0.5831
2015-01-15 06:00:00,0.7000
2015-01-15 07:00:00,0.7863
2015-01-15 08:00:00,0.8985
2015-01-15 09:00:00,0.8963
2015-01-15 10:00:00,0.8944
2015-01-15 11:00:00,0.8622
2015-01-15 12:00:00,0.8606
2015-01-15 13:00:00,0.8586
2015-01-15 14:00:00,0.8554
2015-01-15 15:00:00,0.8530
2015-01-15 16:00:00,0.8512
2015-01-15 17:00:00,0.8492
2015-01-15 18:00:00,0.8509
2015-01-15 19:00:00,0.7775
2015-01-15 20:00:00,0.7425
2015-01-15 21:00:00,0.7047
2015-01-15 22:00:00,0.7029
2015-01-15 23:00:00,0.6987
2015-01-16 00:00:00,0.6922
2015-01-16 01:00:00,0.6849
2015-01-16 02:00:00,0.7426
2015-01-16 03:00:00,0.7652
2015-01-16 04:00:00,0.7384
2015-01-16 05:00:00,0.7784
2015-01-16 06:00:00,0.7404
2015-01-16 07:00:00,0.7062
2015-01-16 08:00:00,0.6755
2015-01-16 09:00:00,0.6475
2015-01-16 10:00:00,0.6254
2015-01-16 11:00:00,0.6139
2015-01-16 12:00:00,0.6019
2015-01-16 13:00:00,0.5882
2015-01-16 14:00:00,0.5746
2015-01-16 15:00:00,0.5728
2015-01-16 16:00:00,0.5838
2015-01-16 17:00:00,0.5991
2015-01-16 18:00:00,0.6092
2015-01-16 19:00:00,0.6078
2015-01-16 20:00:00,0.5983
2015-01-16 21:00:00,0.5784
2015-01-16 22:00:00,0.5671
2015-01-16 23:00:00,0.5664
2015-01-17 00:00:00,0.5706
2015-01-17 01:00:00,0.5701
2015-01-17 02:00:00,0.5703
2015-01-17 03:00:00,0.5760
2015-01-17 04:00:00,0.5765
2015-01-17 05:00:00,0.5700
2015-01-17 06:00:00,0.5525
2015-01-17 07:00:00,0.5344
2015-01-17 08:00:00,0.5205
2015-01-17 09:00:00,0.5080
2015-01-17 10:00:00,0.5030
2015-01-17 11:00:00,0.5102
2015-01-17 12:00:00,0.5243
2015-01-17 13:00:00,0.5319
2015-01-17 14:00:00,0.5264
2015-01-17 15:00:00,0.5086
2015-01-17 16:00:00,0.4835
2015-01-17 17:00:00,0.4538
2015-01-17 18:00:00,0.4197
2015-01-17 19:00:00,0.3875
2015-01-17 20:00:00,0.3549
2015-01-17 21:00:00,0.3277
2015-01-17 22:00:00,0.3012
2015-01-17 23:00:00,0.2841
2015-01-18 00:00:00,0.2802
2015-01-18 01:00:00,0.2762
2015-01-18 02:00:00,0.2688
2015-01-18 03:00:00,0.2598
2015-01-18 04:00:00,0.2432
2015-01-18 05:00:00,0.2280
2015-01-18 06:00:00,0.2346
2015-01-18 07:00:00,0.2613
2015-01-18 08:00:00,0.2775
2015-01-18 09:00:00,0.2791
2015-01-18 10:00:00,0.2828
2015-01-18 11:00:00,0.3012
2015-01-18 12:00:00,0.3303
2015-01-18 13:00:00,0.3595
2015-01-18 14:00:00,0.3813
2015-01-18 15:00:00,0.3950
2015-01-18 16:00:00,0.3986
2015-01-18 17:00:00,0.3852
2015-01-18 18:00:00,0.3550
2015-01-18 19:00:00,0.3121
2015-01-18 20:00:00,0.2657
2015-01-18 21:00:00,0.2326
2015-01-18 22:00:00,0.2076
2015-01-18 23:00:00,0.1888
2015-01-19 00:00:00,0.1773
2015-01-19 01:00:00,0.1656
2015-01-19 02:00:00,0.1519
2015-01-19 03:00:00,0.1374
2015-01-19 04:00:00,0.1212
2015-01-19 05:00:00,0.1019
2015-01-19 06:00:00,0.0813
2015-01-19 07:00:00,0.0622
2015-01-19 08:00:00,0.0467
2015-01-19 09:00:00,0.0359
2015-01-19 10:00:00,0.0296
2015-01-19 11:00:00,0.0264
2015-01-19 12:00:00,0.0262
2015-01-19 13:00:00,0.0284
2015-01-19 14:00:00,0.0317
2015-01-19 15:00:00,0.0360
2015-01-19 16:00:00,0.0404
2015-01-19 17:00:00,0.0450
2015-01-19 18:00:00,0.0498
2015-01-19 19:00:00,0.0559
2015-01-19 20:00:00,0.0633
2015-01-19 21:00:00,0.0702
2015-01-19 22:00:00,0.0762
2015-01-19 23:00:00,0.0800
2015-01-20 00:00:00,0.0813
2015-01-20 01:00:00,0.0794
2015-01-20 02:00:00,0.0755
2015-01-20 03:00:00,0.0738
2015-01-20 04:00:00,0.0727
2015-01-20 05:00:00,0.0754
2015-01-20 06:00:00,0.0844
2015-01-20 07:00:00,0.1015
2015-01-20 08:00:00,0.1254
2015-01-20 09:00:00,0.1409
2015-01-20 10:00:00,0.1512
2015-01-20 11:00:00,0.1635
2015-01-20 12:00:00,0.1755
2015-01-20 13:00:00,0.1875
2015-01-20 14:00:00,0.1987
2015-01-20 15:00:00,0.2184
2015-01-20 16:00:00,0.2440
2015-01-20 17:00:00,0.2700
2015-01-20 18:00:00,0.2950
2015-01-20 19:00:00,0.3181
2015-01-20 20:00:00,0.3401
2015-01-20 21:00:00,0.3650
2015-01-20 22:00:00,0.3866
2015-01-20 23:00:00,0.4079
2015-01-21 00:00:00,0.4218
2015-01-21 01:00:00,0.4317
2015-01-21 02:00:00,0.4312
2015-01-21 03:00:00,0.4138
2015-01-21 04:00:00,0.3920
2015-01-21 05:00:00,0.3700
2015-01-21 06:00:00,0.3492
2015-01-21 07:00:00,0.3295
2015-01-21 08:00:00,0.3135
2015-01-21 09:00:00,0.3021
2015-01-21 10:00:00,0.2865
2015-01-21 11:00:00,0.2617
2015-01-21 12:00:00,0.2310
2015-01-21 13:00:00,0.2046
2015-01-21 14:00:00,0.1834
2015-01-21 15:00:00,0.1634
2015-01-21 16:00:00,0.1429
2015-01-21 17:00:00,0.1255
2015-01-21 18:00:00,0.1178
2015-01-21 19:00:00,0.1156
2015-01-21 20:00:00,0.1147
2015-01-21 21:00:00,0.1135
2015-01-21 22:00:00,0.1088
2015-01-21 23:00:00,0.0992
2015-01-22 00:00:00,0.0907
2015-01-22 01:00:00,0.0863
2015-01-22 02:00:00,0.0887
2015-01-22 03:00:00,0.0924
2015-01-22 04:00:00,0.0993
2015-01-22 05:00:00,0.1084
2015-01-22 06:00:00,0.1183
2015-01-22 07:00:00,0.1257
2015-01-22 08:00:00,0.1308
2015-01-22 09:00:00,0.1320
2015-01-22 10:00:00,0.1267
2015-01-22 11:00:00,0.1218
2015-01-22 12:00:00,0.1182
2015-01-22 13:00:00,0.1192
2015-01-22 14:00:00,0.1253
2015-01-22 15:00:00,0.1383
2015-01-22 16:00:00,0.1558
2015-01-22 17:00:00,0.1732
2015-01-22 18:00:00,0.1878
2015-01-22 19:00:00,0.1988
2015-01-22 20:00:00,0.2068
2015-01-22 21:00:00,0.2201
2015-01-22 22:00:00,0.2384
2015-01-22 23:00:00,0.2572
2015-01-23 00:00:00,0.2774
2015-01-23 01:00:00,0.3023
2015-01-23 02:00:00,0.3337
2015-01-23 03:00:00,0.3643
2015-01-23 04:00:00,0.3915
2015-01-23 05:00:00,0.4173
2015-01-23 06:00:00,0.4484
2015-01-23 07:00:00,0.4851
2015-01-23 08:00:00,0.5194
2015-01-23 09:00:00,0.5568
2015-01-23 10:00:00,0.5945
2015-01-23 11:00:00,0.6283
2015-01-23 12:00:00,0.6582
2015-01-23 13:00:00,0.6855
2015-01-23 14:00:00,0.7097
2015-01-23 15:00:00,0.7298
2015-01-23 16:00:00,0.7425
2015-01-23 17:00:00,0.7527
2015-01-23 18:00:00,0.7606
2015-01-23 19:00:00,0.7674
2015-01-23 20:00:00,0.7766
2015-01-23 21:00:00,0.7967
2015-01-23 22:00:00,0.8131
2015-01-23 23:00:00,0.8215
2015-01-24 00:00:00,0.8230
2015-01-24 01:00:00,0.8239
2015-01-24 02:00:00,0.8280
2015-01-24 03:00:00,0.8223
2015-01-24 04:00:00,0.8275
2015-01-24 05:00:00,0.8282
2015-01-24 06:00:00,0.8175
2015-01-24 07:00:00,0.8054
2015-01-24 08:00:00,0.7950
2015-01-24 09:00:00,0.7806
2015-01-24 10:00:00,0.7645
2015-01-24 11:00:00,0.7497
2015-01-24 12:00:00,0.7347
2015-01-24 13:00:00,0.7147
2015-01-24 14:00:00,0.6887
2015-01-24 15:00:00,0.6612
2015-01-24 16:00:00,0.6328
2015-01-24 17:00:00,0.6070
2015-01-24 18:00:00,0.5846
2015-01-24 19:00:00,0.5654
2015-01-24 20:00:00,0.5513
2015-01-24 21:00:00,0.5506
2015-01-24 22:00:00,0.5530
2015-01-24 23:00:00,0.5530
2015-01-25 00:00:00,0.5430
2015-01-25 01:00:00,0.5284
2015-01-25 02:00:00,0.5142
2015-01-25 03:00:00,0.4798
2015-01-25 04:00:00,0.4490
2015-01-25 05:00:00,0.4319
2015-01-25 06:00:00,0.4274
2015-01-25 07:00:00,0.4320
2015-01-25 08:00:00,0.4489
2015-01-25 09:00:00,0.4776
2015-01-25 10:00:00,0.5133
2015-01-25 11:00:00,0.5504
2015-01-25 12:00:00,0.5750
2015-01-25 13:00:00,0.5853
2015-01-25 14:00:00,0.5904
2015-01-25 15:00:00,0.5957
2015-01-25 16:00:00,0.6089
2015-01-25 17:00:00,0.6229
2015-01-25 18:00:00,0.6218
2015-01-25 19:00:00,0.6120
2015-01-25 20:00:00,0.6140
2015-01-25 21:00:00,0.6194
2015-01-25 22:00:00,0.6159
2015-01-25 23:00:00,0.5999
2015-01-26 00:00:00,0.5894
2015-01-26 01:00:00,0.5880
2015-01-26 02:00:00,0.5949
2015-01-26 03:00:00,0.6130
2015-01-26 04:00:00,0.6436
2015-01-26 05:00:00,0.6714
2015-01-26 06:00:00,0.6940
2015-01-26 07:00:00,0.7162
2015-01-26 08:00:00,0.7348
2015-01-26 09:00:00,0.7377
2015-01-26 10:00:00,0.7396
2015-01-26 11:00:00,0.7445
2015-01-26 12:00:00,0.7498
2015-01-26 13:00:00,0.7536
2015-01-26 14:00:00,0.7537
2015-01-26 15:00:00,0.7519
2015-01-26 16:00:00,0.7446
2015-01-26 17:00:00,0.7287
2015-01-26 18:00:00,0.7012
2015-01-26 19:00:00,0.6640
2015-01-26 20:00:00,0.6281
2015-01-26 21:00:00,0.6066
2015-01-26 22:00:00,0.5891
2015-01-26 23:00:00,0.5738
2015-01-27 00:00:00,0.5671
2015-01-27 01:00:00,0.5580
2015-01-27 02:00:00,0.5552
2015-01-27 03:00:00,0.5522
2015-01-27 04:00:00,0.5475
2015-01-27 05:00:00,0.5414
2015-01-27 06:00:00,0.5341
2015-01-27 07:00:00,0.5167
2015-01-27 08:00:00,0.4905
2015-01-27 09:00:00,0.4539
2015-01-27 10:00:00,0.4158
2015-01-27 11:00:00,0.3984
2015-01-27 12:00:00,0.3998
2015-01-27 13:00:00,0.4075
2015-01-27 14:00:00,0.4103
2015-01-27 15:00:00,0.4024
2015-01-27 16:00:00,0.3993
2015-01-27 17:00:00,0.4254
2015-01-27 18:00:00,0.4625
2015-01-27 19:00:00,0.5031
2015-01-27 20:00:00,0.5575
2015-01-27 21:00:00,0.6192
2015-01-27 22:00:00,0.6714
2015-01-27 23:00:00,0.7186
2015-01-28 00:00:00,0.7603
2015-01-28 01:00:00,0.7891
2015-01-28 02:00:00,0.8212
2015-01-28 03:00:00,0.8412
2015-01-28 04:00:00,0.8527
2015-01-28 05:00:00,0.8660
2015-01-28 06:00:00,0.8766
2015-01-28 07:00:00,0.8840
2015-01-28 08:00:00,0.8857
2015-01-28 09:00:00,0.8863
2015-01-28 10:00:00,0.8891
2015-01-28 11:00:00,0.8906
2015-01-28 12:00:00,0.8894
2015-01-28 13:00:00,0.8862
2015-01-28 14:00:00,0.8819
2015-01-28 15:00:00,0.8781
2015-01-28 16:00:00,0.8735
2015-01-28 17:00:00,0.8688
2015-01-28 18:00:00,0.8650
2015-01-28 19:00:00,0.8601
2015-01-28 20:00:00,0.8537
2015-01-28 21:00:00,0.8485
2015-01-28 22:00:00,0.8465
2015-01-28 23:00:00,0.8453
2015-01-29 00:00:00,0.8423
2015-01-29 01:00:00,0.8371
2015-01-29 02:00:00,0.8302
2015-01-29 03:00:00,0.8201
2015-01-29 04:00:00,0.8031
2015-01-29 05:00:00,0.7841
2015-01-29 06:00:00,0.7643
2015-01-29 07:00:00,0.7456
2015-01-29 08:00:00,0.7284
2015-01-29 09:00:00,0.7087
2015-01-29 10:00:00,0.6840
2015-01-29 11:00:00,0.6615
2015-01-29 12:00:00,0.6383
2015-01-29 13:00:00,0.6004
2015-01-29 14:00:00,0.5479
2015-01-29 15:00:00,0.5068
2015-01-29 16:00:00,0.4759
2015-01-29 17:00:00,0.4541
2015-01-29 18:00:00,0.4416
2015-01-29 19:00:00,0.4358
2015-01-29 20:00:00,0.4281
2015-01-29 21:00:00,0.4198
2015-01-29 22:00:00,0.4113
2015-01-29 23:00:00,0.4045
2015-01-30 00:00:00,0.4052
2015-01-30 01:00:00,0.4191
2015-01-30 02:00:00,0.4318
2015-01-30 03:00:00,0.4289
2015-01-30 04:00:00,0.4251
2015-01-30 05:00:00,0.4274
2015-01-30 06:00:00,0.4369
2015-01-30 07:00:00,0.4572
2015-01-30 08:00:00,0.4732
2015-01-30 09:00:00,0.4835
2015-01-30 10:00:00,0.4927
2015-01-30 11:00:00,0.5141
2015-01-30 12:00:00,0.5446
2015-01-30 13:00:00,0.5721
2015-01-30 14:00:00,0.5908
2015-01-30 15:00:00,0.6028
2015-01-30 16:00:00,0.6155
2015-01-30 17:00:00,0.6230
2015-01-30 18:00:00,0.6282
2015-01-30 19:00:00,0.6274
2015-01-30 20:00:00,0.6218
2015-01-30 21:00:00,0.6033
2015-01-30 22:00:00,0.5780
2015-01-30 23:00:00,0.5580
2015-01-31 00:00:00,0.5448
2015-01-31 01:00:00,0.5330
2015-01-31 02:00:00,0.5192
2015-01-31 03:00:00,0.5086
2015-01-31 04:00:00,0.4985
2015-01-31 05:00:00,0.4890
2015-01-31 06:00:00,0.4807
2015-01-31 07:00:00,0.4741
2015-01-31 08:00:00,0.4731
2015-01-31 09:00:00,0.4764
2015-01-31 10:00:00,0.4854
2015-01-31 11:00:00,0.5028
2015-01-31 12:00:00,0.5294
2015-01-31 13:00:00,0.5701
2015-01-31 14:00:00,0.6233
2015-01-31 15:00:00,0.6811
2015-01-31 16:00:00,0.7315
